Gene	GeneDesc
K22278	peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]
K03256	tRNA (adenine-N(1)-)-methyltransferase non-catalytic subunit
K06710	inducible T-cell co-stimulator ligand
K04926	potassium voltage-gated channel KQT-like subfamily member 1
K11796	Trpc4-associated protein
K10331	ankyrin repeat and SOCS box protein 9
K06124	phosphoethanolamine/phosphocholine phosphatase [EC:3.1.3.75]
K06133	4'-phosphopantetheinyl transferase [EC:2.7.8.-]
K01884	cysteinyl-tRNA synthetase, unknown class [EC:6.1.1.16]
K16637	adenylate cyclase ExoY
K06531	poliovirus receptor-related protein 2
K16988	microRNA 16
K07002	uncharacterized protein
K01792	glucose-6-phosphate 1-epimerase [EC:5.1.3.15]
K13216	nuclear inhibitor of protein phosphatase 1 [EC:3.1.4.-]
K08919	chlorophyll a/b binding light-harvesting protein PcbB
K02368	alpha-1,4-N-acetylglucosaminyltransferase EXTL1 [EC:2.4.1.224]
K19412	glutamate--LysW ligase ArgX [EC:6.3.2.-]
K05069	interleukin 2 receptor beta
K10058	C-type lectin domain family 4 member D
K09067	achaete-scute complex protein
K04311	G protein-coupled receptor 3
K20365	endoplasmic reticulum-Golgi intermediate compartment protein 1
K18383	trans-feruloyl-CoA hydratase / vanillin synthase [EC:4.2.1.101 4.1.2.41]
K00679	phospholipid:diacylglycerol acyltransferase [EC:2.3.1.158]
K10494	zinc finger and BTB domain-containing protein 7
K07709	two-component system, NtrC family, sensor histidine kinase HydH [EC:2.7.13.3]
K18632	tektin-5
K13419	serine/threonine-protein kinase PknK [EC:2.7.11.1]
K00012	UDPglucose 6-dehydrogenase [EC:1.1.1.22]
K22101	dihydroneopterin triphosphate aldolase (PTPS-III) / 6-pyruvoyltetrahydropterin synthase [EC:4.1.2.60 4.2.3.12]
K15852	LuxR family transcriptional regulator, transcriptional activator of the bioluminescence operon
K12068	conjugal transfer pilus assembly protein TraL
K20755	Lys-Lys/Arg-Xaa endopeptidase [EC:3.4.21.121]
K05038	solute carrier family 6 (neurotransmitter transporter, amino acid) member 5/7/9/14
K14856	protein SDA1
K09250	cellular nucleic acid-binding protein
K11221	signal transducer and activator of transcription 2
K17869	NADH oxidase (H2O-forming) [EC:1.6.3.4]
K04881	potassium voltage-gated channel Shaker-related subfamily A member 10
K03812	ribosome modulation factor
K13004	galacturonosyltransferase [EC:2.4.1.-]
K21008	polysaccharide biosynthesis protein PelC
K09697	sodium transport system ATP-binding protein [EC:3.6.3.7]
K11895	type VI secretion system protein ImpH
K10267	F-box and WD-40 domain protein 12/13/14/15/16/17/19
K12512	tight adherence protein D
K17142	microRNA 888
K17543	PX domain-containing protein kinase-like protein
K06281	hydrogenase large subunit [EC:1.12.99.6]
K02003	putative ABC transport system ATP-binding protein
K03371	alpha-N-acetyl-neuraminate alpha-2,8-sialyltransferase (sialyltransferase 8A) [EC:2.4.99.8]
K10229	sorbitol/mannitol transport system permease protein
K16826	signal-regulatory protein beta 2
K15151	mediator of RNA polymerase II transcription subunit 10
K02198	cytochrome c-type biogenesis protein CcmF
K02828	cytochrome aa3-600 menaquinol oxidase subunit III [EC:1.10.3.12]
K07058	membrane protein
K21358	serine/threonine-protein kinase ULK3 [EC:2.7.11.1]
K08299	crotonobetainyl-CoA hydratase [EC:4.2.1.149]
K08156	MFS transporter, DHA1 family, arabinose polymer utilization protein
K00196	anaerobic carbon-monoxide dehydrogenase iron sulfur subunit
K10307	F-box protein 30
K05568	multicomponent Na+:H+ antiporter subunit D
K01108	myotubularin [EC:3.1.3.64 3.1.3.95]
K19054	frataxin [EC:1.16.3.1]
K10894	fanconi anemia group G protein
K11260	4Fe-4S ferredoxin
K16966	dimethylsulfide dehydrogenase subunit gamma
K02370	alpha-1,4-N-acetylglucosaminyltransferase EXTL3 [EC:2.4.1.223 2.4.1.224]
K21405	sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR
K12884	heterogeneous nuclear ribonucleoprotein C1/C2
K12503	short-chain Z-isoprenyl diphosphate synthase [EC:2.5.1.68]
K13051	beta-aspartyl-peptidase (threonine type) [EC:3.4.19.5]
K08154	MFS transporter, DHA1 family, 2-module integral membrane pump EmrD
K13085	phosphatidylinositol-4,5-bisphosphate 4-phosphatase [EC:3.1.3.78]
K10333	ankyrin repeat and SOCS box protein 11
K03640	peptidoglycan-associated lipoprotein
K01384	wingless-type MMTV integration site family, member 11
K03212	23S rRNA (uracil747-C5)-methyltransferase [EC:2.1.1.189]
K16088	outer-membrane receptor for ferric coprogen and ferric-rhodotorulic acid
K08091	growth factor receptor bound protein 2-associated protein 2
K13863	solute carrier family 7 (cationic amino acid transporter), member 1
K17095	annexin A7/11
K04179	C-C chemokine receptor type 4
K04688	ribosomal protein S6 kinase beta [EC:2.7.11.1]
K06977	uncharacterized protein
K19873	fukutin-related protein [EC:2.7.8.-]
K16124	tyrocidine synthetase III
K01048	lysophospholipase [EC:3.1.1.5]
K13839	merozoite surface protein 2
K03610	septum site-determining protein MinC
K15519	deoxyadenosine/deoxycytidine kinase [EC:2.7.1.76 2.7.1.74]
K06235	zinc finger protein ZIC 2
K09256	NF-kappa-B inhibitor-like protein 1
K15748	beta-D-glucopyranosyl abscisate beta-glucosidase [EC:3.2.1.175]
K04622	G protein-coupled receptor family C group 6 member A
K21915	BTB/POZ domain-containing protein KCTD3
K08779	carboxypeptidase A1 [EC:3.4.17.1]
K13773	p53-regulated apoptosis-inducing protein 1
K14886	small nucleolar RNA snR60
K14270	aminotransferase
K04373	ribosomal protein S6 kinase alpha-1/2/3/6 [EC:2.7.11.1]
K11326	cation efflux system protein involved in nickel and cobalt tolerance
K10198	glucose/arabinose transport system permease protein
K06596	chemosensory pili system protein ChpA (sensor histidine kinase/response regulator)
K15180	negative elongation factor B
K03655	ATP-dependent DNA helicase RecG [EC:3.6.4.12]
K06448	T-cell surface glycoprotein CD1
K15500	serine/threonine-protein phosphatase 6 regulatory subunit 2
K21033	cytochrome P450 family 103
K02733	20S proteasome subunit beta 10 [EC:3.4.25.1]
K12102	cag pathogenicity island protein 17
K01273	membrane dipeptidase [EC:3.4.13.19]
K11574	centromere DNA-binding protein complex CBF3 subunit A
K20933	hydrazine synthase subunit [EC:1.7.2.7]
K12548	autoaggregation protein RapA/B/C
K11003	hemolysin D
K10892	fanconi anemia group E protein
K14747	benzoylacetate-CoA ligase [EC:6.2.1.-]
K03046	DNA-directed RNA polymerase subunit beta' [EC:2.7.7.6]
K18560	NADH-dependent fumarate reductase subunit E
K10970	alpha 1,2-mannosyltransferase [EC:2.4.1.-]
K13249	translocon-associated protein subunit alpha
K00172	pyruvate ferredoxin oxidoreductase gamma subunit [EC:1.2.7.1]
K19661	two-component system, NtrC family, sensor histidine kinase HupT/HoxJ [EC:2.7.13.3]
K04351	Rap guanine nucleotide exchange factor 4
K09991	uncharacterized protein
K20302	trafficking protein particle complex subunit 3
K12880	THO complex subunit 3
K16696	exopolysaccharide (amylovoran) exporter
K18147	outer membrane protein, multidrug efflux system
K07259	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]
K17435	large subunit ribosomal protein L54
K07851	Ras-like protein family member 10B
K22165	F420H2 dehydrogenase subunit J [EC:1.5.98.3]
K12860	pre-mRNA-splicing factor CDC5/CEF1
K03247	translation initiation factor 3 subunit H
K11214	sedoheptulokinase [EC:2.7.1.14]
K10627	E3 ubiquitin-protein ligase RAD18 [EC:2.3.2.27]
K03162	major outer membrane protein
K08693	2',3'-cyclic-nucleotide 2'-phosphodiesterase / 3'-nucleotidase / 5'-nucleotidase [EC:3.1.4.16 3.1.3.6 3.1.3.5]
K11664	vacuolar protein sorting-associated protein 72
K04765	nucleoside triphosphate diphosphatase [EC:3.6.1.9]
K05471	tumor necrosis factor ligand superfamily member 8
K21816	sulfite reductase (coenzyme F420) [EC:1.8.98.3]
K21219	hydroxymethylpyrimidine kinase / phosphomethylpyrimidine kinase / thiamine-phosphate diphosphorylase [EC:2.7.1.49 2.7.4.7 2.5.1.3]
K15132	mediator of RNA polymerase II transcription subunit 11, fungi type
K15288	solute carrier family 35, member F3/4
K18123	4-hydroxy-2-oxoglutarate aldolase [EC:4.1.3.16]
K10678	nitroreductase [EC:1.-.-.-]
K01673	carbonic anhydrase [EC:4.2.1.1]
K18165	complex I assembly factor TMEM126B
K08258	staphopain A [EC:3.4.22.48]
K08664	prostasin [EC:3.4.21.-]
K20267	type IV secretion system protein TrbH
K13707	abhydrolase domain-containing protein 15
K12250	pentalenene synthase [EC:4.2.3.7]
K09665	beta-1,3-N-acetylglucosaminyltransferase 8 [EC:2.4.1.-]
K04671	bone morphogenetic protein receptor type-2 [EC:2.7.11.30]
K14898	small nucleolar RNA snR72
K13089	interleukin enhancer-binding factor 2
K09223	growth factor independent 1
K00725	(N-Acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase [EC:2.4.1.92]
K21020	diguanylate cyclase [EC:2.7.7.65]
K04318	G protein-coupled receptor 21
K20776	BRISC and BRCA1-A complex member 1
K19489	doublesex- and mab-3-related transcription factor 2
K16644	actin-assembly inducing protein
K11717	cysteine desulfurase / selenocysteine lyase [EC:2.8.1.7 4.4.1.16]
K19344	cytochrome c55X
K14579	naphthalene 1,2-dioxygenase subunit alpha [EC:1.14.12.12 1.14.12.23 1.14.12.24]
K20799	BRISC complex subunit Abro1
K14525	ribonucleases P/MRP protein subunit RPP25 [EC:3.1.26.5]
K09464	general control protein GCN4
K17709	cytochrome P450 family 2 subfamily B polypeptide 6 [EC:1.14.13.-]
K15822	camelliol C synthase [EC:5.4.99.38]
K07922	Ras-related protein Rab-36
K00169	pyruvate ferredoxin oxidoreductase alpha subunit [EC:1.2.7.1]
K02382	flagellar protein FlbA
K05024	chloride intracellular channel protein 4
K15668	fengycin family lipopeptide synthetase E
K01049	acetylcholinesterase [EC:3.1.1.7]
K02137	F-type H+-transporting ATPase subunit O
K17126	microRNA 124
K00709	histo-blood group ABO system transferase [EC:2.4.1.40 2.4.1.37]
K06363	response regulator aspartate phosphatase E [EC:3.1.-.-]
K11177	xanthine dehydrogenase YagR molybdenum-binding subunit [EC:1.17.1.4]
K00413	ubiquinol-cytochrome c reductase cytochrome c1 subunit
K17621	eyes absent homolog 3 [EC:3.1.3.48]
K07082	UPF0755 protein
K01942	biotin---protein ligase [EC:6.3.4.9 6.3.4.10 6.3.4.11 6.3.4.15]
K09834	tocopherol cyclase [EC:5.5.1.24]
K03523	biotin transport system substrate-specific component
K22300	HTH-type transcriptional regulator, cell division transcriptional repressor
K20491	lantibiotic transport system permease protein
K03192	urease accessory protein
K01498	diaminohydroxyphosphoribosylaminopyrimidine deaminase [EC:3.5.4.26]
K10676	2,4-dichlorophenol 6-monooxygenase [EC:1.14.13.20]
K17527	intelectin
K07470	DNA gyrase inhibitor
K17032	microRNA 196c
K14932	small nucleolar RNA snR85
K04008	CD59 antigen
K04692	signal transducer and activator of transcription 3
K01064	wingless-type MMTV integration site family, member 9
K18571	putative sulfotransferase [EC:2.8.2.-]
K21742	LysR family transcriptional regulator, transcriptional activator for ttdABT operon
K02546	BlaI family transcriptional regulator, methicillin resistance regulatory protein
K10326	ankyrin repeat and SOCS box protein 4
K19220	peptidoglycan DL-endopeptidase CwlS [EC:3.4.-.-]
K08458	G protein-coupled receptor 116
K00089	3alpha-hydroxysteroid 3-dehydrogenase [EC:1.1.1.213 1.1.1.357]
K05461	KIT ligand
K05676	ATP-binding cassette, subfamily D (ALD), member 2
K13843	merozoite surface protein 6
K08161	MFS transporter, DHA1 family, multidrug resistance protein
K04594	latrophilin 3
K07680	two-component system, NarL family, sensor histidine kinase ComP [EC:2.7.13.3]
K18643	katanin p80 WD40 repeat-containing subunit B1
K06182	23S rRNA pseudouridine2604 synthase [EC:5.4.99.21]
K17635	ral guanine nucleotide dissociation stimulator-like 1
K07315	phosphoserine phosphatase RsbU/P [EC:3.1.3.3]
K19306	18S rRNA (guanine1575-N7)-methyltransferase [EC:2.1.1.309]
K13401	valine N-monooxygenase [EC:1.14.14.38]
K13576	solute carrier family 38 (sodium-coupled neutral amino acid transporter), member 3
K16028	O-methyltransferase
K08261	D-sorbitol dehydrogenase (acceptor) [EC:1.1.99.21]
K02721	photosystem II PsbW protein
K20213	RUNX transcription factor Runt
K07606	vimentin
K19988	exocyst complex component 3-like protein 2
K16388	polyene glycosyltransferase
K07740	regulator of sigma D
K11131	H/ACA ribonucleoprotein complex subunit 4 [EC:5.4.99.-]
K11274	chromosome transmission fidelity protein 4
K06949	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]
K13485	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase [EC:4.1.1.97]
K13705	abhydrolase domain-containing protein 12B
K08647	pappalysin-2 [EC:3.4.24.-]
K10454	kelch-like protein 17 (actinfilin)
K13155	U11/U12 small nuclear ribonucleoprotein 35 kDa protein
K07691	two-component system, NarL family, competent response regulator ComA
K03763	DNA polymerase III subunit alpha, Gram-positive type [EC:2.7.7.7]
K15914	N,N'-diacetylbacillosaminyl-diphospho-undecaprenol alpha-1,3-N-acetylgalactosaminyltransferase [EC:2.4.1.290]
K20009	caspase Dronc [EC:3.4.22.-]
K11606	manganese/iron transport system permease protein
K20060	arrestin-related trafficking adapter 2/8
K05140	interferon lambda receptor 1
K05491	interleukin 17C
K11618	two-component system, NarL family, response regulator LiaR
K18592	gamma-glutamyltranspeptidase / glutathione hydrolase / leukotriene-C4 hydrolase [EC:2.3.2.2 3.4.19.13 3.4.19.14]
K21345	D-glycero-beta-D-manno-heptose 1-phosphate adenylyltransferase [EC:2.7.7.70]
K04491	transcription factor 7-like 2
K01740	O-acetylhomoserine (thiol)-lyase [EC:2.5.1.49]
K21013	farnesyl diphosphate phosphatase [EC:3.1.3.-]
K03771	peptidyl-prolyl cis-trans isomerase SurA [EC:5.2.1.8]
K16641	hepatoma-derived growth factor
K00706	1,3-beta-glucan synthase [EC:2.4.1.34]
K13752	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4
K12015	tripartite motif-containing protein 39 [EC:2.3.2.27]
K17291	MARVEL domain-containing protein 2
K06237	collagen, type IV, alpha
K01782	3-hydroxyacyl-CoA dehydrogenase / enoyl-CoA hydratase / 3-hydroxybutyryl-CoA epimerase [EC:1.1.1.35 4.2.1.17 5.1.2.3]
K02295	cryptochrome
K03249	translation initiation factor 3 subunit F
K00124	formate dehydrogenase iron-sulfur subunit
K00082	5-amino-6-(5-phosphoribosylamino)uracil reductase [EC:1.1.1.193]
K08739	DNA mismatch repair protein MLH3
K01112	phosphohistidine phosphatase [EC:3.9.1.3]
K19806	tyrosine-protein phosphatase 2/3 [EC:3.1.3.48]
K17878	nicotinamide N-methyltransferase [EC:2.1.1.1]
K15912	UDP-N-acetyl-D-glucosamine 4,6-dehydratase [EC:4.2.1.135]
K08967	1,2-dihydroxy-3-keto-5-methylthiopentene dioxygenase [EC:1.13.11.53 1.13.11.54]
K19696	5'-methylthioinosine phosphorylase [EC:2.4.2.44]
K16052	MscS family membrane protein
K21166	enediyne biosynthesis protein E9
K11655	bromodomain adjacent to zinc finger domain protein 1A
K11384	two-component system, NtrC family, response regulator AlgB
K20086	tryptophan oxidase VioA [EC:1.4.3.-]
K14159	ribonuclease HI / DNA polymerase III subunit epsilon [EC:3.1.26.4 2.7.7.7]
K14616	cubilin
K02932	large subunit ribosomal protein L5e
K11240	tyrosine-protein phosphatase MSG5 [EC:3.1.3.48]
K20667	beta-amyrin 28-monooxygenase [EC:1.14.13.201]
K06440	similar to spore coat protein
K04366	RAF proto-oncogene serine/threonine-protein kinase [EC:2.7.11.1]
K16467	centlein
K12853	114 kDa U5 small nuclear ribonucleoprotein component
K16452	coiled-coil domain-containing protein 92
K17863	linoleate 8R-lipoxygenase / 9,12-octadecadienoate 8-hydroperoxide 8R-isomerase [EC:1.13.11.60 5.4.4.5]
K13101	G patch domain and KOW motifs-containing protein
K17867	diphthamide biosynthesis protein 4
K22371	G2/M phase-specific E3 ubiquitin-protein ligase [EC:2.3.2.26]
K07664	two-component system, OmpR family, response regulator BaeR
K20134	TBC1 domain family member 3
K01978	M1 RNA
K11807	WD and tetratricopeptide repeats protein 1
K02624	IclR family transcriptional regulator, pca regulon regulatory protein
K18644	eukaryotic translation initiation factor 4E binding protein 2
K05428	interleukin 5
K16620	bone morphogenetic protein 6
K10514	zinc finger and BTB domain-containing protein 43
K07225	putative hemin transport protein
K01763	selenocysteine lyase [EC:4.4.1.16]
K12529	putative selenate reductase FAD-binding subunit
K14345	solute carrier organic anion transporter family, member 2A
K16572	gamma-tubulin complex component 5
K08811	testis-specific serine kinase [EC:2.7.11.1]
K02122	V/A-type H+/Na+-transporting ATPase subunit F
K06320	spore maturation protein CgeB
K08044	adenylate cyclase 4 [EC:4.6.1.1]
K05758	actin related protein 2/3 complex, subunit 2
K07145	heme oxygenase (staphylobilin-producing) [EC:1.14.99.48]
K17261	adenylyl cyclase-associated protein
K18204	D-2-hydroxyglutarate dehydrogenase [EC:1.1.99.39]
K18213	proteinaceous RNase P [EC:3.1.26.5]
K04107	4-hydroxybenzoyl-CoA reductase subunit gamma [EC:1.3.7.9]
K14516	ethylene-responsive transcription factor 1
K17281	alpha-S1-casein
K17776	metaxin
K16169	xanthine permease
K13161	heterogeneous nuclear ribonucleoprotein R
K03635	molybdopterin synthase catalytic subunit [EC:2.8.1.12]
K03383	cyanuric acid amidohydrolase [EC:3.5.2.15]
K05820	MFS transporter, PPP family, 3-phenylpropionic acid transporter
K07765	S2P endopeptidase [EC:3.4.24.85]
K05001	potassium inwardly-rectifying channel subfamily J member 8
K15782	Lrp/AsnC family transcriptional regulator, regulator of ectoine-degradation genes
K14287	methionine transaminase [EC:2.6.1.88]
K16330	pseudouridylate synthase / pseudouridine kinase [EC:4.2.1.70 2.7.1.83]
K15997	3-alpha-mycarosylerythronolide B desosaminyl transferase auxiliary protein
K09873	aquaporin TIP
K09262	MADS-box transcription enhancer factor 2D
K17957	cytochrome P450 family 35
K11755	phosphoribosyl-ATP pyrophosphohydrolase / phosphoribosyl-AMP cyclohydrolase [EC:3.6.1.31 3.5.4.19]
K05541	tRNA-dihydrouridine synthase C [EC:1.-.-.-]
K12619	5'-3' exoribonuclease 2 [EC:3.1.13.-]
K19995	secretory carrier-associated membrane protein
K00091	dihydroflavonol-4-reductase [EC:1.1.1.219]
K10004	glutamate/aspartate transport system ATP-binding protein [EC:3.6.3.-]
K16836	T-cell leukemia/lymphoma 1B
K15169	mediator of RNA polymerase II transcription subunit 26
K05737	G protein-coupled receptor kinase interactor 1
K08069	pantetheine hydrolase [EC:3.5.1.92]
K00495	phenylacetaldehyde oxime monooxygenase [EC:1.14.14.44]
K08416	G protein-coupled receptor 65
K18002	2-heptyl-4(1H)-quinolone synthase subunit PqsC [EC:2.3.1.230]
K04819	5-hydroxytryptamine receptor 3
K20014	cell death protein rpr
K03248	translation initiation factor 3 subunit G
K03026	DNA-directed RNA polymerase III subunit RPC4
K03925	MraZ protein
K11962	urea transport system ATP-binding protein
K21744	MerR family transcriptional regulator, thiopeptide resistance regulator
K12240	pyochelin synthetase
K13442	calpain-14 [EC:3.4.22.-]
K04677	mothers against decapentaplegic homolog 6
K17363	urocanate reductase [EC:1.3.99.33]
K02929	large subunit ribosomal protein L44e
K17531	obscurin-RhoGEF [EC:2.7.11.1]
K08899	lemur tyrosine kinase 3 [EC:2.7.10.1]
K16707	UDP-galactose-lipid carrier transferase
K11781	FO synthase subunit 2 [EC:2.5.1.77]
K17744	L-galactose dehydrogenase [EC:1.1.1.316]
K20348	p24 family protein gamma-1
K11416	mono-ADP-ribosyltransferase sirtuin 6 [EC:2.4.2.31]
K01440	nicotinamidase [EC:3.5.1.19]
K19545	lincosamide nucleotidyltransferase A/C/D/E
K01247	DNA-3-methyladenine glycosylase II [EC:3.2.2.21]
K07934	intraflagellar transport protein 27
K09506	DnaJ homolog subfamily A member 5
K00101	L-lactate dehydrogenase (cytochrome) [EC:1.1.2.3]
K18264	integral membrane protein 2B
K14811	ATP-dependent RNA helicase DBP3 [EC:3.6.4.13]
K04483	DNA repair protein RadA
K01538	sodium/potassium-transporting ATPase subunit gamma (FXYD domain-containing ion transport regulator 2)
K19660	L-arabinose 1-dehydrogenase [NAD(P)+] [EC:1.1.1.376]
K10937	accessory colonization factor AcfB
K15460	tRNA1Val (adenine37-N6)-methyltransferase [EC:2.1.1.223]
K10967	alpha 1,2-mannosyltransferase [EC:2.4.1.-]
K20856	beta-1,6-galactosyltransferase [EC:2.4.1.-]
K11924	DtxR family transcriptional regulator, manganese transport regulator
K15688	E3 ubiquitin-protein ligase MUL1 [EC:2.3.2.27]
K18155	ATPase expression protein 3, mitochondrial
K17183	microRNA 31
K21976	probable RcsB/C two-component-system connector, global regulator of biofilm formation and acid-resistance
K07588	LAO/AO transport system kinase [EC:2.7.-.-]
K21527	adenine modification enzyme [EC:2.3.1.-]
K08751	fatty acid-binding protein 2, intestinal
K12264	anaerobic nitric oxide reductase flavorubredoxin
K10893	fanconi anemia group F protein
K22259	autophagy-related protein 30
K11137	telomere length regulation protein
K05032	ATP-binding cassette subfamily C (CFTR/MRP) member 8
K02843	heptosyltransferase II [EC:2.4.-.-]
K12967	interleukin 33
K13955	zinc-binding alcohol dehydrogenase/oxidoreductase
K04912	potassium channel subfamily K member 1
K21754	BTB/POZ domain-containing protein KCTD1/15
K13723	endoplasmic reticulum aminopeptidase 2 [EC:3.4.11.-]
K01428	urease subunit alpha [EC:3.5.1.5]
K13479	xanthine dehydrogenase FAD-binding subunit [EC:1.17.1.4]
K16333	CREB-regulated transcription coactivator 2
K03871	von Hippel-Lindau disease tumor supressor
K11477	glc operon protein GlcG
K12048	ComB10 competence protein
K05789	chain length determinant protein (polysaccharide antigen chain regulator)
K12300	MFS transporter, ACS family, solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 1/2/3/4
K03986	complement C1q subcomponent subunit A
K18230	macrolide transport system ATP-binding/permease protein
K21952	CASK-interacting protein
K02404	flagellar biosynthesis protein FlhF
K16729	cysteine and histidine-rich domain-containing protein 1
K11355	two-component system, chemotaxis family, response regulator Rcp1
K14441	ribosomal protein S12 methylthiotransferase [EC:2.8.4.4]
K04010	C5a anaphylatoxin chemotactic receptor
K04734	NF-kappa-B inhibitor alpha
K21411	ankyrin repeat and LEM domain-containing protein 1
K06333	spore coat protein JB
K21825	AraC family transcriptional regulator, L-arginine-responsive activator
K04766	acetoin utilization protein AcuA [EC:2.3.1.-]
K10161	toll-like receptor 9
K15031	transcription termination factor, mitochondrial
K03034	26S proteasome regulatory subunit N4
K03999	complement component 8 subunit gamma
K14497	protein phosphatase 2C [EC:3.1.3.16]
K17914	kinesin family member 13
K01985	5S ribosomal RNA
K21156	vacuolar fusion protein CCZ1
K08118	biglycan
K12210	intracellular multiplication protein IcmF
K15279	solute carrier family 35 (GDP-fucose transporter), member C1
K12469	EH domain-containing protein 2
K03270	3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase) [EC:3.1.3.45]
K05627	BAI1-associated protein 2
K08220	MFS transporter, FLVCR family, feline leukemia virus subgroup C receptor-related protein
K03487	LacI family transcriptional regulator, asc operon repressor
K04142	adrenergic receptor beta-2
K13835	cell-traversal protein for ookinetes and sporozoites
K17341	hemicentin
K00341	NADH-quinone oxidoreductase subunit L [EC:1.6.5.3]
K21354	beta-D-glucosyl crocetin beta-1,6-glucosyltransferase [EC:2.4.1.330]
K00634	phosphate butyryltransferase [EC:2.3.1.19]
K09629	serine protease 33 [EC:3.4.21.-]
K14558	periodic tryptophan protein 2
K07604	type I keratin, acidic
K21403	2-phosphoxylose phosphatase [EC:3.1.3.-]
K12685	subtilase-type serine protease [EC:3.4.21.-]
K16797	zinc finger protein GLI1
K21637	anti-adapter protein IraD
K07188	hormone-sensitive lipase [EC:3.1.1.79]
K03361	F-box and WD-40 domain protein CDC4
K10734	GINS complex subunit 3
K14957	lymphocyte-specific protein 1
K09575	FK506-binding protein 9/10 [EC:5.2.1.8]
K21122	ubiquitin carboxyl-terminal hydrolase 28 [EC:3.4.19.12]
K09556	BCL2-associated athanogene 2
K04504	peroxisome proliferator-activated receptor delta
K12034	tripartite motif-containing protein 69 [EC:2.3.2.27]
K06374	spore maturation protein B
K14396	polyadenylate-binding protein 2
K12014	tripartite motif-containing protein 38 [EC:2.3.2.27]
K12840	splicing factor 45
K04123	ent-kaurenoic acid hydroxylase [EC:1.14.13.79]
K18830	HTH-type transcriptional regulator / antitoxin PezA
K21105	mono(ethylene terephthalate) hydrolase [EC:3.1.1.102]
K18225	propane monooxygenase reductase component [EC:1.18.1.-]
K03505	DNA polymerase delta subunit 4
K14627	dehydratase [EC:4.2.1.-]
K14016	ubiquitin fusion degradation protein 1
K19893	glucan endo-1,3-beta-glucosidase 5/6 [EC:3.2.1.39]
K05022	chloride intracellular channel protein 2
K05838	putative thioredoxin
K19734	LuxR family transcriptional regulator, quorum-sensing system regulator ExpR
K15955	13-deoxydaunorubicin hydroxylase [EC:1.14.13.181]
K04941	potassium large conductance calcium-activated channel subfamily M beta member 4
K16955	methylated-thiol--corrinoid protein
K08800	NUAK family, SNF1-like kinase [EC:2.7.11.1]
K13804	inactivation no afterpotential D protein
K16447	oxidation protein CepG
K09646	serine carboxypeptidase 1 [EC:3.4.16.-]
K20695	immune-induced peptide 1/2/3
K14304	nuclear pore complex protein Nup85
K21920	BTB/POZ domain-containing protein KCTD11 [EC:2.3.2.27]
K07037	uncharacterized protein
K07654	two-component system, OmpR family, sensor histidine kinase MtrB [EC:2.7.13.3]
K03214	RNA methyltransferase, TrmH family [EC:2.1.1.-]
K09595	minor histocompatibility antigen H13 [EC:3.4.23.-]
K03060	DNA-directed RNA polymerase subunit omega [EC:2.7.7.6]
K17770	mitochondrial import receptor subunit TOM20
K00275	pyridoxamine 5'-phosphate oxidase [EC:1.4.3.5]
K17076	putative lysine transport system ATP-binding protein [EC:3.6.3.-]
K20692	gram-negative bacteria-binding protein 3
K14591	protein AroM
K03917	coagulation factor XIII A1 polypeptide [EC:2.3.2.13]
K05504	growth differentiation factor 15
K03513	DNA polymerase mu [EC:2.7.7.7]
K14092	energy-converting hydrogenase A subunit A
K10455	kelch-like protein 18
K20878	NIMA (never in mitosis gene a)-related kinase 9 [EC:2.7.11.1]
K01608	tartronate-semialdehyde synthase [EC:4.1.1.47]
K06745	programmed cell death 1 ligand 1
K13140	integrator complex subunit 3
K18431	CMP-N,N'-diacetyllegionaminic acid synthase [EC:2.7.7.82]
K05110	Eph receptor B1 [EC:2.7.10.1]
K12695	raucaffricine beta-D-glucosidase / vomilenine glucosyltransferase [EC:3.2.1.125 2.4.1.219]
K01661	naphthoate synthase [EC:4.1.3.36]
K21474	peptidoglycan DL-endopeptidase RipB [EC:3.4.-.-]
K08206	MFS transporter, OCT family, solute carrier family 22 (organic anion/cation transporter), member 9/10/19/24/25
K10137	zinc finger, matrin type 3
K04133	muscarinic acetylcholine receptor M5
K21032	beta-1,4-glucuronyltransferase 1 [EC:2.4.1.-]
K20160	DENN domain-containing protein 1
K18672	diadenylate cyclase [EC:2.7.7.85]
K07705	two-component system, LytTR family, response regulator LytT
K17884	archaetidylinositol phosphate synthase [EC:2.7.8.39]
K12081	type IV secretion system protein PtlE
K14708	solute carrier family 26 (sodium-independent sulfate anion transporter), member 11
K10434	microtubule-associated protein 9
K09803	uncharacterized protein
K11350	bromodomain and PHD finger-containing protein 3
K17463	2-dehydro-3-deoxy-phosphogluconate aldolase [EC:4.1.2.14]
K17421	large subunit ribosomal protein L40
K07702	two-component system, CitB family, response regulator CitB
